"","Average_moisture","Elevation","Percent_mass_loss","plo","phi"
"1",6.8,794,19.7235144643417,17.2991960373948,22.1478328912885
"2",5.4,794,19.6620101117521,17.1103862204034,22.2136340031009
"3",4.7,794,19.6312579354574,17.0127405710511,22.2497752998636
"4",5.633333333,794,19.6722608371691,17.1424752495391,22.2020464247991
"5",5.15,922,19.6510271916469,17.0757459287534,22.2263084545403
"6",6.15,922,19.694958872068,17.2126670924849,22.177250651651
"7",8.65,922,19.8047880731207,17.5333718826435,22.0762042635979
"8",5.55,922,19.6685998638153,17.1310420917539,22.2061576358767
"9",6.783333333,1049,19.7227822696533,17.2970031333002,22.1485614060064
"10",13.05,1049,19.9980874669735,17.9989932210156,21.9971817129315
"11",18.4,1049,20.2331219572264,18.3316704890403,22.1345734254126
"12",12.35,1049,19.9673352906788,17.9350722967981,21.9995982845594
"13",14.6,1175,20.0661815716262,18.1246946263586,22.0076685168939
"14",24.15,1175,20.4857291196478,18.3714046958536,22.6000535434419
"15",20.75,1175,20.336361406216,18.3853020084234,22.2874208040086
"16",24.4,1175,20.496712039753,18.3666308777333,22.6267932017728
"17",7.5,1299,19.7542666406364,17.3900111780516,22.1185221032212
"18",27.5,1299,20.6329002490584,18.2723432930909,22.993457205026
"19",29.05,1299,20.7009943537111,18.2045007659675,23.1974879414548
"20",17.2,1299,20.1804039407211,18.282429998246,22.0783778831962
"21",24.58333333,1425,20.5047661810171,18.3628364028588,22.6466959591755
"22",25.95,1425,20.5648061444057,18.3271397297193,22.8024725590922
"23",30.05,1425,20.7449260341322,18.15476065574,23.3350914125245
"24",19.4,1425,20.2770536376475,18.3613021606475,22.1928051146476
"25",25.13333333,1551,20.5289286052487,18.3500058716744,22.7078513388231
"26",28.8,1551,20.6900114336059,18.2162388436053,23.1637840236064
"27",23.35,1551,20.4505837753109,18.3834611035119,22.5177064471098
"28",32.9,1551,20.8701313233324,17.9918944381631,23.7483682085017
"29",46.75,1684,21.4785850971646,16.9485869861038,26.0085832082254
"30",48.05,1684,21.5356962817121,16.8389369715159,26.2324555919082
"31",42.75,1684,21.3028583754802,17.2771362853877,25.3285804655728
"32",45.85,1684,21.4390465847856,17.0237469163404,25.8543462532309
"33",19.55,1799,20.2836433897107,18.3648655638106,22.2024212156108
"34",26.15,1799,20.57359248049,18.3208793634818,22.8263055974982
"35",22.55,1799,20.415438430974,18.3903513832936,22.4405254786544
"36",22.75,1926,20.4242247670582,18.389131316955,22.4593182171614
"37",31.95,1926,20.8283962269323,18.0492958580091,23.6074965958555
"38",26.05,1926,20.5691993124479,18.3240410519104,22.8143575729853
"39",28,1926,20.654866089269,18.2517816842026,23.0579504943354
